날짜,리뷰,평점
"Spencer, 01/20/20232010ToyotaRAV44dr SUV (2.5L 4cyl 4A)","I bought this car as my first and it never broke down in 13 years. Worked flawlessly. I'm actually shocked, it rarely needed maintenance. It's a beast of a vehicle. I'm finally getting a new car only because I need to get a 4WD/AWD for the snow, but if you don't need that, it's a gem.",5 out of 5 stars
"Bruce, 09/22/20222010ToyotaRAV4Sport 4dr SUV 4WD (3.5L 6cyl 5A)","Dependable, comfortable, no major mechanical issues in 12 years, great pick-up, good storage, many amenities, fun to drive.",5 out of 5 stars
"Car loving Girl, 05/07/20212010ToyotaRAV44dr SUV 4WD (2.5L 4cyl 4A)","For a small SUV it has a lot going for it. Lots of space in back, nice back seat and storage everywhere. Handles well and is tight. The 2.5 I4 engine has plenty of zip. I would like a little more leg room up front, I have long legs, but I am doing OK with it. It's a very solid vehicle. Very happy with my decision to go with the RAV4.",4 out of 5 stars
"gjhumbert, 08/02/2019updated08/03/20202010ToyotaRAV4Limited 4dr SUV 4WD (3.5L 6cyl 5A)","Front left&right ball joints replaced at 150,000 mi.",4 out of 5 stars
"Suquit Toyoda, 03/13/20202010ToyotaRAV4Sport 4dr SUV 4WD (3.5L 6cyl 5A)","This car has a recall that effectively permanently disables the rear toe alignment adjustment by coating it in epoxy.  

This results in increased wear and tear on the suspension and tires, and if you require alignment, the cost to replace both lower forward control arms which can be more that $600.  A tidy profit for Toyota and Toyota dealers.

I'd stay away from this vehicle, and from Toyota, who thinks that it's an acceptable practice to pass on the costs of their engineering failures to the consumer years after the purchase.",1 out of 5 stars
"Dammie O-O, 12/16/20192010ToyotaRAV4Limited 4dr SUV (3.5L 6cyl 5A)","Hi Guys!

I love the RAV 4. This is the 4th 2010 model i will be driving for so many reasons. I have never driven the V6 Limited option so i decided to get one. This is putting it mildly - This RAV4 is a Fuel Drunkard! 

It does Avg of 10.9 MPG and i don't understand how this is possible. My Ford Edge 2013 Limited 3.7L V6 does 19/20MPG while my 2014 Venza V6 does 22/24MPG. 

Previous RAV4s did about 23/24 MPG and never felt the pain in my Gas Budget. Please i need help urgently. What could be the issue? Various checks have been made on the Vehicle and no issue found. 

Please HELP as i am about to go crazy. Thanks.",2 out of 5 stars
"ruthie, 12/04/2018updated06/14/20192010ToyotaRAV44dr SUV 4WD (2.5L 4cyl 4A)","I kept my garaged-kept Rav4 maintained religiously at Team Toyota ever since I purchased it - Oil change, tires rotate, this safety check etc  There is no sign or warnings, one morning it won't start and need to be towed to Team Toyota - diagnostic call - that it need to replace the engine - it's died.  Where is that Toyota will last  - last - last to 200K+ miles - they don't die.  NOT TRUE   quite disappointed - I have to pay $5000 to replace an old engine they found with 2 years warranty.  SAD
Yeah, update - the replaced old engine is working,  but I hesitate to drive Rav4 for a long distant.  I will continue to keep up the maintenance.  will see.",3 out of 5 stars
"DrewMc, 04/12/20192010ToyotaRAV4Limited 4dr SUV (2.5L 4cyl 4A)","Virtually no issues with this car other than a sway bar link and a heat shield clamp in 125k miles.  It's not the most comfortable car in the world, but it is practical and goes great in the snow.  The seats are not comfortable at all and if you are over 6', this vehicle isn't for you.  Other than that, no real complaints. I have a Limited model with leather and all the bells and whistles.  It doesn't look the fanciest, but everything works as should.  22-29 MPG.  Can't beat that for a 4wd vehicle.",4 out of 5 stars
"D, 03/26/20192010ToyotaRAV4Limited 4dr SUV (2.5L 4cyl 4A)","Best, most reliable car we've ever owned!Performance4 out of 5 stars",5 out of 5 stars
"Ed, 01/21/2017updated01/07/20192010ToyotaRAV44dr SUV 4WD (3.5L 6cyl 5A)","Thought I would share my experiences in case someone is looking for a nice used vehicle. I've owned my Rav since it was brand new(2010). Very reliable vehicle. Have had next to zero issues except recalls which cost nothing except a little time. The V6 engine is probably the strongest part of the car. Tremendous acceleration, smooth, and avg. 22 mpg. I'm still on my original brake pads and I'm at 50,000 miles. The cargo space is deceivingly big inside. Mine has the spare tire on the rear gate, but that is actually an advantage because it opens up a lot of underneath storage inside the cargo area. The few downsides would be that the rear seats are a little hard (but they do have plenty of room and they recline), the steering is a little numb on center, and their is torque steer if you gun it from a standstill (and I have 4wd). But the engine is so powerful there is no need to gun it. The 4wd drive is very good and includes a lock feature for really slippery conditions. Because it's a 2010 it doesn't have all the latest technology, but if you're looking for a dependable car that's fairly comfortable with a lot of room and a great engine, you'll be happy. In a few years I plan to give this car to my daughter for her first car.
UPDATE-Jan. 2019
Still loving the reliability. Ready to hand this over to my daughter with no reservations. Still on the original brake pads at 59,000 miles. These new turbo 4 cylinder engines can't touch the smoothness, the power, and reliability of this 6 cylinder engine.",5 out of 5 stars
"Dan, 02/25/20182010ToyotaRAV44dr SUV (3.5L 6cyl 5A)",Road noise is audible inside more than desired,5 out of 5 stars
"W Hocevar, 11/22/20172010ToyotaRAV44dr SUV (2.5L 4cyl 4A)",Great purchase,5 out of 5 stars
"Oly, 10/28/2016updated10/31/20172010ToyotaRAV4Limited 4dr SUV 4WD (3.5L 6cyl 5A)","This is my second RAV4.  The first was 2007 Limited V6 4WD with 120,000+ miles, and was totaled in an accident.  As for safety, it did great!   Front and back were crushed but my wifi and I walked out of the accident... With minor whiplash.   We're ok.                     So, we looked for another RAV4 with the same style.  Found 2010 LIMITED V6 4WD (love the V6 power) with only 20,000 miles.  This is better because it has backup camera and smart key--love that feature.    We are going to use this car for many many miles and long long years.  Best SUV we ever had.  Btw, we had a Touareg and it's ok.",5 out of 5 stars
"Richard Kemp, 07/06/20172010ToyotaRAV4Limited 4dr SUV (2.5L 4cyl 4A)",With a total of 165000 miles and still strong and problem tree other than paint defect which Toyota will not repair.,4 out of 5 stars
"Greg  Crawford, 05/22/20172010ToyotaRAV4Limited 4dr SUV (2.5L 4cyl 4A)",Excellent car and great gas mileage. Lots of leg room and storage space. 120v power plug in in car is great as well.,5 out of 5 stars
"Paul LaValley, 05/15/2016updated05/15/20172010ToyotaRAV4Sport 4dr SUV (3.5L 6cyl 5A)",Still love it! With 269 HP it really moves but it's getting close to that time.,5 out of 5 stars
"william smith, 05/07/20172010ToyotaRAV4Limited 4dr SUV 4WD (3.5L 6cyl 5A)","Had a 2008 base line Rav4 with the 2.4 liter, 2AZ-FE engine, which is a known oil consumer! Love the vehicle, but a 4 cylinder for a 4 wheel drive vehicle with an engine that Toyota mis-engineered the piston rings, was just not enough power. Bought a 2010 with the 3.5 liter 6 Cylinder, and wow! It has more horsepower than my Double Cab 2004 Tundra with its 4.7 liter  V-8 engine!Performance5 out of 5 starsComfort5 out of 5 starsReliability5 out of 5 starsValue5 out of 5 stars",5 out of 5 stars
"Fran, 03/04/20172010ToyotaRAV44dr SUV (3.5L 6cyl 5A)",Our gas tank ruptured two years ago on a road trip and now we have another $1600.00 bill. The gas tank cocts $3000.00 and this is American - we are Canadians,1 out of 5 stars
"Helen Ready, 02/20/20172010ToyotaRAV44dr SUV (2.5L 4cyl 4A)","If you have never had a vehicle with the spare attached to the back door, you should know that sometimes you hear it jiggling.",4 out of 5 stars
"RAV4 forever, 02/15/20172010ToyotaRAV4Sport 4dr SUV (2.5L 4cyl 4A)","I've been driving for 16 years, I bought a RAV4 when I realized that both my son's would outgrow any car I bought so I went with an SUV. I'll never switch back. I love my RAV4. I've driven it to Florida from MA twice and once to Georgia and all the trips I make around my home state with my kids and I haven't had any issues.",5 out of 5 stars
"Azipster, 02/11/20172010ToyotaRAV4Limited 4dr SUV 4WD (3.5L 6cyl 5A)",My new name for this car is Zippy! You press on the gas and it goes! It's easy to steer and handles great. The size is perfect- not too small and not too big. Love the push start and stop option (keyless ignition).  Also love the blue tooth for hands free phone use! Zips in and out of parking spots with a breeze! Love this car!Performance5 out of 5 starsInterior4 out of 5 starsComfort4 out of 5 starsReliability5 out of 5 stars,5 out of 5 stars
"RSC, 10/10/20162010ToyotaRAV44dr SUV 4WD (2.5L 4cyl 4A)","With nearly 84,000 miles, I have very little trouble with this car.  The trouble is in the form of a few recalls.  I have looked at newer RAVs and still prefer my old one as Toyota has removed some convenience items such as a double glove box (the new RAV has only an opening at the top where the old second glove box was), the sunglass holder above the windshield (I like having a place to put those), and a covered middle console (it is now open).  Cutting corners like that will not necessarily make me a repeat customer if I can find another car I like as well.  If Toyota would return some of the convenience items, I for sure will be buying another RAV.  It also handles very well in snow (a big necessity in Minnesota).  My main focus when I buy a car is how comfortable the seat is for me (I am 5'2"" and the seat makes or breaks the car for me).  My RAV fits that bill and I like the fold-down seats and huge hauling capacity in the back.  My only real complaint is the noise level in the car.  There seems to be a lot of wind noise which results in my having to turn up and down the radio/CD player.  Other than that I am a huge fan of this car.",5 out of 5 stars
"avrz10, 09/16/20162010ToyotaRAV44dr SUV 4WD (2.5L 4cyl 4A)","I have 120,000 miles on the car, maintenance includes oil changes, tires, brakes.   What else can you ask for,  Road noise is a little loud,  comfort is ok,   This is a good vehicle.",4 out of 5 stars
"Jose Ramirez, 08/28/20162010ToyotaRAV4Limited 4dr SUV (2.5L 4cyl 4A)",Great car the Toyota dealership gave me great service the sales man Kevin is great they took good care of me help me with my busing needs. They made it really easy on getting a car the Rav4 that I got I love this vehicle thanks Toyota of New Ro.,5 out of 5 stars
"gh81, 07/25/2014updated07/20/20162010ToyotaRAV4Limited 4dr SUV 4WD (3.5L 6cyl 5A)","Upgraded from an Altima due to the arrival of my daughter. The V6 engine and transmission are oustanding. Interior is overall great, seats are comfortable, equipment on limited is generous. Trunk is very spacious and practical. 

I purchased it on 43000km, now at 100000km. I've had a few surprising bills on it, specifically 3 shocks, a wheel bearing and a sticking parking brake cable, as well as a loose cable to the backup camera and an occasional glitch where a random radio button doesn't work.

The ride is at best acceptable but not as smooth as I'd hoped, I put the softest tires on possible which has helped too (the Toyo a20's were not good)

This will be my one and only RAV4, the thought of downgrading to a 4Cyl from the V6 is not appealing so when this needs to be replaced I'll get something else.",4 out of 5 stars
"Bob Clark, 01/31/20162010ToyotaRAV44dr SUV (2.5L 4cyl 4A)",No Review Text Found,5 out of 5 stars
"Danny Rosado, 12/23/20152010ToyotaRAV44dr SUV (2.5L 4cyl 4A)","Classic Toyota gave us a car buying experience that we will never forget. We drove in from Kentucky to visit with family, and to buy a car for a better value. We had looked at our Capital One email who referred us to classic Toyota in Waukegan. Once at the dealer we were met by Diana Romero who was our sales and leasing associate. Diana was friendly, knowledgeable, and she offered us coffee, snacks, and just had a wonderful personality. Diana gave us back our faith in car dealerships because of previous experiences we had vowed never to go to a dealership and purchase a car. We told Diana our monthly price range and she was able to stay within a close proximity to what we wanted, and she was very honest from the beginning about what Toyota financing could offer. I will definitely refer friends and family to that specific dealership. :)",5 out of 5 stars
"caboz, 08/08/20132010ToyotaRAV4Limited 4dr SUV (2.5L 4cyl 4A)",4 times in the last 2 years the vehicle would not start because the brake pedal was locked and not moveable.,3.38 out of 5 stars
"ilex2, 03/13/20132010ToyotaRAV4Limited 4dr SUV 4WD (3.5L 6cyl 5A)","I wanted a well rated small SUV with lower owner cost, so I recently bought a 2010 Rav4 and love how fun this car is to drive! 

PROS:
The V6 has lots of power and better gas mileage than my last car (a Mercedes C300) and I love that the Rav uses regular grade gas.
Lots of cargo space, roomy back seat, and the radio's aux is great for using Pandora on my iPhone.
Nav and back-up camera are great features!


CONS: Hands free phone system's mic is poor quality.
Braking is a little slower than I'm used to.
Cup holder insert is too small for a travel cup and without the insert, it's too big.
Not a big deal, but a little frustrating.

Overall, I LOVE this car!",4.75 out of 5 stars
"t0yotfan, 03/05/20132010ToyotaRAV4Sport 4dr SUV 4WD (3.5L 6cyl 5A)","After having both a 2002 and 2004 CRV,
I bought a 2007 RAV4 with the V6. It had greater usable cargo space and the V6 got 22mpg when the 2 CRV's never got over 21mpg with a 4 cyl.
The 2007 RAV4 got totaled in an accident, so since I was very happy with it, I bought another identical V6 4x4 base model. I bought it with a Toyota trailer hitch and I have no problem towing a 8x5 Big Tex trailer loaded with a John Deere 2320 tractor plus 3 Labs in the back cargo area in 3 large dog kennels every week 80 miles to a farm I own in the next county over.
The total weight of the trailer and Tractor is 2850lbs. I still get 16 mpg with that load and the power and braking are more than adequate.",4.75 out of 5 stars
"glennm76, 02/03/20132010ToyotaRAV4Limited 4dr SUV 4WD (3.5L 6cyl 5A)","I brought the 2010 rav4 limited v6 awd brand new on a lease. I owned it for almost three years and have put 26,000 miles on it. The v6 engine is amazing, super fast and can pass anyone. The JBL stereo system is awesome. The bluetooth works good. The rav4 doesn't like corners and takes longer to break then most small suv's. If you open the moon roof while you are on the freeway, there is too much noise. The leather seats are not very comfortable. But other than that, great car and Toyota sells the best cars out there. I never had a problem.",4.5 out of 5 stars
"chucko420, 12/12/20122010ToyotaRAV4Limited 4dr SUV 4WD (2.5L 4cyl 4A)","Pros:
handles surprisingly well with good acceleration and steering, decent gas mileage, good JBL sound system, interior foot lights are sweet, 4WD mode is great since it is superior to AWD, heated seats, very little serice work needed except re-torquing the drive shat every 15,000 miles, interior design is good especially the fold flat rear seats, lots of cargo space with easy access.
Cons:
very noisy-can't even talk on the phone due to noise level, small steering wheel, poor visability out the rear but all cars are like that now, front license plate gets damaged in car wash.",3.75 out of 5 stars
"tunisjs, 11/08/20122010ToyotaRAV44dr SUV 4WD (2.5L 4cyl 4A)","I bought 2010 Rav4 base 4x4 at Carmax on my return from overseas.
I needed a reliable, roomy SUV quickly for a long road trip.
I love to drive.
Fully loaded with stuff, using a/c, 28mpg highway (despite only 4 gears, a happy surprise).
Totally reliable, lots of storage room, side swinging rear door ok, full size spare tire a godsend.
Grossly uncomfortable driving position for this 6'2"" 210lb male, no lumbar support, my knees rubbed against console and window controls.
The worst was the loud, arthritic creaking from all the RAV4's body joints on launches, turns and stops!
It sounded like a Yugo.
What's up with Toyota?
I traded it in on a used GLK.",2.75 out of 5 stars
"k5zoo, 10/01/20122010ToyotaRAV4Sport 4dr SUV (2.5L 4cyl 4A)","After wanting to downsize from my minivan with the additional goal of improved gas mileage, I initially test drove a pre-owned Ford Focus and it was ok but quite compact especially the second row leg room. I happened upon the RAV4 in the same lot. I really liked how spacious the leg room was in the second row and I really liked the back storage. I am 5'2"" so the cargo door is a plus because I had to be on my toes with the van hatchback.The full sized spare tire is also a plus; I read some neg reviews about its location but I think it's much easier access. My combined gas mileage is 25.4 M-F due to hwy commuting; on the weekend which is more in town it's 25.1. Overall a good value.",4.63 out of 5 stars
